Date,Open,High,Low,Close,Volume
02-01-2012 15:30,179,183.05,176.87,181.96,10067815
03-01-2012 15:30,184.24,192.7,184.19,191.86,15700104
04-01-2012 15:30,191.76,200.31,190.92,199.03,22511018
05-01-2012 15:30,198.78,203.53,198.04,199.92,21411124
06-01-2012 15:30,197.84,202.79,196.36,201.4,13409363
09-01-2012 15:30,199.67,200.51,196.06,198.43,11480297
10-01-2012 15:30,198.83,204.22,198.83,202.89,11788431
11-01-2012 15:30,203.97,205.06,199.57,202.69,15458971
12-01-2012 15:30,200.81,207.24,200.36,203.97,12058721
13-01-2012 15:30,207.88,210.9,204.27,206.55,19007188
16-01-2012 15:30,203.78,212.28,201.75,211.44,21477056
17-01-2012 15:30,215.65,219.01,213.82,215.05,23807872
18-01-2012 15:30,215,217.58,210.35,211.54,24272296
19-01-2012 15:30,214.66,217.87,214.06,216.09,14411978
20-01-2012 15:30,217.53,218.91,213.27,216.73,10540519
23-01-2012 15:30,218.51,220.84,215.25,216.73,9127486
24-01-2012 15:30,218.61,222.08,214.16,219.55,13795140
25-01-2012 15:30,220.59,231.82,220.3,228.46,22401472
27-01-2012 15:30,232.07,238.79,230.09,237.26,26107234
30-01-2012 15:30,235.63,236.12,228.9,231.37,17288524
31-01-2012 15:30,232.56,242.9,232.56,241.12,12974777
01-02-2012 15:30,241.22,249.08,240.77,245.72,20257968
02-02-2012 15:30,249.77,249.97,242.31,243.79,17382856
03-02-2012 15:30,244.58,247.3,238.05,244.98,13971451
06-02-2012 15:30,247.8,250.27,243,249.03,11740535
07-02-2012 15:30,252,252,245.42,247.65,12643356
08-02-2012 15:30,249.18,250.66,242.9,247.89,10137305
09-02-2012 15:30,246.51,256.06,245.92,254.52,16635276
10-02-2012 15:30,253.93,259.07,252.74,254.57,15661092
13-02-2012 15:30,254.52,257.98,251.01,255.51,10826046
14-02-2012 15:30,256.65,269.76,256.15,265.06,21562594
15-02-2012 15:30,275.69,289.54,275,284.74,36821788
16-02-2012 15:30,279.94,281.23,271.34,272.92,22683612
17-02-2012 15:30,278.36,280.44,268.22,270.99,16865962
21-02-2012 15:30,272.23,273.02,266.64,268.37,18313380
22-02-2012 15:30,269.06,273.02,263.03,265.55,19307802
23-02-2012 15:30,265.11,270.79,262.83,265.55,17239168
24-02-2012 15:30,267.08,268.82,260.36,262.58,9297899
27-02-2012 15:30,265.01,265.01,252.59,257.14,13321207
28-02-2012 15:30,259.62,272.48,259.17,270.4,14818238
29-02-2012 15:30,273.02,275.79,264.41,268.02,13002814
01-03-2012 15:30,266.99,270.94,262.53,264.32,10231237
02-03-2012 15:30,266.59,269.06,261.79,264.76,10962544
05-03-2012 15:30,264.12,272.62,263.38,271.19,13724738
06-03-2012 15:30,271.14,275.99,261.15,264.12,11559507
07-03-2012 15:30,262.14,266.89,259.57,265.06,8513827
09-03-2012 15:30,269.31,278.91,269.31,277.62,11975682
12-03-2012 15:30,279.94,283.8,274.06,281.13,12242332
13-03-2012 15:30,283.06,284.49,279.3,279.94,9452132
14-03-2012 15:30,283.41,288.85,282.76,286.87,10028660
15-03-2012 15:30,286.82,290.97,281.63,287.31,9766291
16-03-2012 15:30,285.39,294.63,279.6,283.6,16288569
19-03-2012 15:30,284.45,289.34,278.31,280.39,9352941
20-03-2012 15:30,280.64,282.86,266.74,268.47,18187838
21-03-2012 15:30,268.91,274.45,261.25,273.12,23030066
22-03-2012 15:30,271.39,279.35,265.11,267.18,14518733
23-03-2012 15:30,269.06,272.62,264.76,269.76,12114513
26-03-2012 15:30,269.76,269.76,263.42,265.5,10695245
27-03-2012 15:30,269.95,272.53,262.93,269.85,10955140
28-03-2012 15:30,268.96,269.71,265.6,268.22,7516739
29-03-2012 15:30,265.95,271.04,264.32,269.01,9807259
30-03-2012 15:30,272.03,273.61,269.95,272.28,6343086
02-04-2012 15:30,276.88,276.98,272.72,273.81,7925946
03-04-2012 15:30,275.49,278.96,272.33,278.21,8217743
04-04-2012 15:30,276.98,278.76,274.31,275.54,4783053
09-04-2012 15:30,274.01,275.84,270.74,272.62,3938410
10-04-2012 15:30,273.12,281.63,272.53,280.69,8158548
11-04-2012 15:30,278.11,283.36,277.67,279.99,9845563
12-04-2012 15:30,282.17,284.59,280.93,283.11,5662436
13-04-2012 15:30,284.89,291.42,283.9,286.18,7715327
16-04-2012 15:30,286.62,298.64,283.75,297.45,12236366
17-04-2012 15:30,300.72,301.66,293.45,298.1,13941921
18-04-2012 15:30,300.22,307.89,299.73,306.41,16888384
19-04-2012 15:30,307.99,316.84,306.26,315.8,15579229
20-04-2012 15:30,314.27,317.29,309.13,313.23,8967838
23-04-2012 15:30,313.08,316.45,305.32,306.41,7833302
24-04-2012 15:30,306.16,310.86,305.71,308.48,6156943
25-04-2012 15:30,309.47,312.04,305.91,310.56,8616061
26-04-2012 15:30,312.49,312.49,307,308.73,6768605
27-04-2012 15:30,309.42,310.31,304.38,309.27,5604087
30-04-2012 15:30,306.65,314.07,306.6,313.13,4648258
02-05-2012 15:30,309.57,309.57,300.37,301.21,10171961
03-05-2012 15:30,300.87,301.71,296.17,297.7,10047793
04-05-2012 15:30,295.28,300.42,292.11,298.54,11603174
07-05-2012 15:30,294.68,306.65,288.4,305.07,13072268
08-05-2012 15:30,304.67,306.21,291.81,293.2,10733073
09-05-2012 15:30,288.8,294.09,286.28,289.69,11204204
10-05-2012 15:30,290.88,293.94,284,286.08,6651924
11-05-2012 15:30,284.94,298.64,284.94,294.29,7947629
14-05-2012 15:30,295.77,297.4,282.57,287.46,7048752
15-05-2012 15:30,284.89,289.34,281.58,287.22,9120585
16-05-2012 15:30,273.91,274.06,264.86,266.1,23045440
17-05-2012 15:30,265.7,272.92,260.8,268.22,13669207
18-05-2012 15:30,262.14,263.82,253.24,257.09,12592092
21-05-2012 15:30,257.39,261.4,255.31,259.02,7849273
22-05-2012 15:30,264.02,266.74,260.56,262.24,8507484
23-05-2012 15:30,259.27,262.58,256.7,258.63,7773910
24-05-2012 15:30,259.96,265.16,254.13,264.12,8791666
25-05-2012 15:30,262.88,268.87,259.52,266.15,5198207
28-05-2012 15:30,267.78,274.65,265.16,273.61,8099946
29-05-2012 15:30,277.87,280.04,270.1,272.77,12557243
30-05-2012 15:30,256.2,256.99,238.94,240.43,40496696
31-05-2012 15:30,235.33,236.52,227.81,230.48,37435732
01-06-2012 15:30,232.46,233.45,220.15,222.13,23853820
04-06-2012 15:30,217.97,227.91,214.9,226.38,18440204
05-06-2012 15:30,225.74,226.87,218.66,219.26,15397005
06-06-2012 15:30,220.74,233.85,220.74,231.87,26730020
07-06-2012 15:30,233.01,236.32,229.54,233.9,13589288
08-06-2012 15:30,231.47,237.36,230.39,236.62,10370787
11-06-2012 15:30,238.4,241.32,231.08,232.96,9868143
12-06-2012 15:30,230.19,241.17,230.04,240.33,12949161
13-06-2012 15:30,241.37,241.37,233.7,234.84,9855791
14-06-2012 15:30,235.43,236.86,223.16,224.25,12660831
15-06-2012 15:30,225.64,238.84,225.64,237.71,16396352
18-06-2012 15:30,240.38,245.32,231.72,235.38,18164572
19-06-2012 15:30,236.42,239.98,233.7,235.58,10439657
20-06-2012 15:30,238.4,244.73,237.41,243.29,13169322
21-06-2012 15:30,242.31,247.1,240.03,245.52,11224327
22-06-2012 15:30,242.21,248.49,239.68,244.43,12861789
25-06-2012 15:30,245.72,249.18,242.35,243.54,11353072
26-06-2012 15:30,242.85,246.11,241.46,244.04,4812673
27-06-2012 15:30,245.32,246.46,235.68,236.62,9252334
28-06-2012 15:30,236.22,239.39,230.24,237.75,14726077
29-06-2012 15:30,240.38,243.59,237.9,239.83,13145042
02-07-2012 15:30,237.16,239.83,234.99,235.38,9226173
03-07-2012 15:30,237.75,238.79,232.56,234.99,9144318
04-07-2012 15:30,235.58,238.65,233.01,233.65,10541013
05-07-2012 15:30,233.65,238.05,232.02,237.41,11400793
06-07-2012 15:30,238.4,241.07,234.84,238.05,12310003
09-07-2012 15:30,235.63,240.67,235.63,238.25,10221053
10-07-2012 15:30,239.83,245.72,239.24,243.84,12445794
11-07-2012 15:30,241.66,243.64,237.21,238.84,8699929
12-07-2012 15:30,237.9,238.2,233.25,234.24,9412858
13-07-2012 15:30,233.45,235.92,231.72,233.4,8215071
16-07-2012 15:30,234.94,235.73,226.13,226.77,8649159
17-07-2012 15:30,229.4,229.84,222.82,223.46,11887659
18-07-2012 15:30,221.33,221.48,216.04,219.21,11771162
19-07-2012 15:30,222.08,224.05,221.38,222.37,6606574
20-07-2012 15:30,221.58,223.02,219.65,220.99,3899157
23-07-2012 15:30,218.51,218.61,212.68,213.72,5700081
24-07-2012 15:30,214.16,215.45,211.05,213.52,7290178
25-07-2012 15:30,211.39,212.88,208.82,210.7,6727477
26-07-2012 15:30,209.81,211,200.86,202.89,14417520
27-07-2012 15:30,208.23,213.07,206.94,210.55,11726479
30-07-2012 15:30,214.06,220.39,213.02,219.31,8997520
